Name,Price,Rate,Url
Vivo Y90 (Gold 16 GB),₹6490,4.4,https://www.flipkart.com/vivo-y90-gold-16-gb/p/itmfgzgfzyehap4e?pid=MOBFGZGFFFWW3H4D&srno=b_1_14&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFGZGFFFWW3H4DQH15WL&fm=organic&iid=bc0a1cb8-f2bf-4b1e-aa42-70054e8d634e.MOBFGZGFFFWW3H4D.SEARCH&ssid=pstukmpqgw0000001573038898924
Vivo V15 (Frozen Black 64 GB),₹19990,4.4,https://www.flipkart.com/vivo-v15-frozen-black-64-gb/p/itmfgy3wssspmt6w?pid=MOBFEKXYTGYFG5S9&srno=b_1_15&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFEKXYTGYFG5S9VOCICW&fm=organic&iid=2ec6aa44-76d1-4d42-ab74-6bd43eccf1af.MOBFEKXYTGYFG5S9.SEARCH&ssid=pstukmpqgw0000001573038898924
Vivo V17Pro (Midnight Ocean Black 128 GB),₹27990,4.5,https://www.flipkart.com/vivo-v17pro-midnight-ocean-black-128-gb/p/itm2076a68e4facb?pid=MOBFK87C8KKG9A4R&srno=b_1_16&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFK87C8KKG9A4RRE37LZ&fm=organic&iid=578bda09-007a-426c-9fd0-360781894059.MOBFK87C8KKG9A4R.SEARCH&ssid=pstukmpqgw0000001573038898924
Vivo Y91i (Fusion Black 32 GB),₹6990,4.3,https://www.flipkart.com/vivo-y91i-fusion-black-32-gb/p/itmff6vsadyrbauf?pid=MOBFEFCPX6AJ7C6K&srno=b_1_17&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFEFCPX6AJ7C6KGKPZED&fm=organic&iid=ddf60670-db51-4a06-a4d2-b1cc3b9ad970.MOBFEFCPX6AJ7C6K.SEARCH&ssid=pstukmpqgw0000001573038898924
Vivo Y90 (Black 16 GB),₹6490,4.4,https://www.flipkart.com/vivo-y90-black-16-gb/p/itmfgzgfzyehap4e?pid=MOBFGZGFSZRET4E5&srno=b_1_18&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFGZGFSZRET4E5WMZUDV&fm=organic&iid=d24df2fb-eade-4b54-841b-8774ee6fd877.MOBFGZGFSZRET4E5.SEARCH&ssid=pstukmpqgw0000001573038898924
Vivo Y17 (Mystic Purple 128 GB),₹13990,4.4,https://www.flipkart.com/vivo-y17-mystic-purple-128-gb/p/itmffftgdyezevvg?pid=MOBFFFTGC5GCH5FK&srno=b_1_19&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFFFTGC5GCH5FKY1SR65&fm=organic&iid=5a7fcf4e-f123-4c32-8825-3dd791409253.MOBFFFTGC5GCH5FK.SEARCH&ssid=pstukmpqgw0000001573038898924
Vivo Y91 (Starry Black 32 GB),₹8490,4.4,https://www.flipkart.com/vivo-y91-starry-black-32-gb/p/itmfgpgks4fzr5z3?pid=MOBFGPGJZZHDUSN9&srno=b_1_20&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFGPGJZZHDUSN9CIQVQ7&fm=organic&iid=19f73e9e-1c57-431d-b591-e8591ec2bdea.MOBFGPGJZZHDUSN9.SEARCH&ssid=pstukmpqgw0000001573038898924
Vivo Y15 (Aqua Blue 64 GB),₹12990,4.4,https://www.flipkart.com/vivo-y15-aqua-blue-64-gb/p/itmfgadf77s87w8x?pid=MOBFGQQYZMGHMQZH&srno=b_1_21&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFGQQYZMGHMQZHES4HHJ&fm=organic&iid=0c3b6e20-fdab-43f6-8a84-8396b0f393cf.MOBFGQQYZMGHMQZH.SEARCH&ssid=pstukmpqgw0000001573038898924
Vivo Y15 (Burgundy Red 64 GB),₹12990,4.4,https://www.flipkart.com/vivo-y15-burgundy-red-64-gb/p/itmfgadf77s87w8x?pid=MOBFGQQYNC3WKZNU&srno=b_1_22&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFGQQYNC3WKZNUYZMDQZ&fm=organic&iid=d69e145a-986a-4d25-94d1-5d80eee69c1f.MOBFGQQYNC3WKZNU.SEARCH&ssid=pstukmpqgw0000001573038898924
Vivo S1 (Skyline Blue 128 GB),₹16990,4.5,https://www.flipkart.com/vivo-s1-skyline-blue-128-gb/p/itmfgu2ks3avptzq?pid=MOBFGU2KJUTRZ5RB&srno=b_1_23&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFGU2KJUTRZ5RBOXG6LH&fm=organic&iid=69021f4f-708c-4ffd-9044-04a3daf15136.MOBFGU2KJUTRZ5RB.SEARCH&ssid=pstukmpqgw0000001573038898924
Vivo S1 (Diamond Black 128 GB),₹16990,4.5,https://www.flipkart.com/vivo-s1-diamond-black-128-gb/p/itmfgu2ks3avptzq?pid=MOBFGU2KUFYFHUHK&srno=b_1_24&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFGU2KUFYFHUHK67JBBF&fm=organic&iid=c6a9a1c4-c816-4ed5-b0fd-075b0f33c98b.MOBFGU2KUFYFHUHK.SEARCH&ssid=pstukmpqgw0000001573038898924
